Total_Price,Unit_Price,Quantity,Product,Discount,Cluster,Category
124.54,1.87,74,Hohes C Orange,0.1,0,Juices
31.98,1.87,18,Fritz-Kola,0.05,0,Soft Drinks
726.61,12.04,71,Merlot,0.15,2,Alcoholic Beverages
5316.13,64.91,91,Moët & Chandon,0.1,3,Alcoholic Beverages
6.56,1.64,4,Granini Apple,0.0,0,Juices
384.88,8.62,47,Riesling,0.05,0,Alcoholic Beverages
8.7,1.74,5,Pepsi,0.0,0,Soft Drinks
27.0,1.8,15,Hohes C Orange,0.0,0,Juices
1550.29,30.22,57,Havana Club,0.1,2,Alcoholic Beverages
5.59,0.98,6,Vio Wasser,0.05,0,Water
37.7,1.28,31,Granini Apple,0.05,0,Juices
88.92,1.3,76,Schwip Schwap,0.1,0,Soft Drinks
3.78,1.26,3,Evian,0.0,0,Water
48.44,3.46,14,Cranberry Juice,0.0,0,Juices
39.96,3.33,12,Tomato Juice,0.0,0,Juices
4.77,1.59,3,Granini Apple,0.0,0,Juices
8.89,1.27,7,Schwip Schwap,0.0,0,Soft Drinks
116.07,2.98,41,Passion Fruit Juice,0.05,0,Juices
26.48,3.31,8,Mango Juice,0.0,0,Juices
20.51,2.93,7,Passion Fruit Juice,0.0,0,Juices
314.68,11.83,28,Havana Club,0.05,0,Alcoholic Beverages
26.93,1.76,17,Rauch Multivitamin,0.1,0,Juices
7.44,0.93,8,Apollinaris,0.0,0,Water
113.07,37.69,3,Johnnie Walker,0.0,0,Alcoholic Beverages
64.8,12.96,5,Havana Club,0.0,0,Alcoholic Beverages
2.56,0.57,5,Apollinaris,0.1,0,Water
6.33,2.11,3,Erdinger Weißbier,0.0,0,Alcoholic Beverages
1.65,0.55,3,Volvic,0.0,0,Water
2.35,2.35,1,Red Bull,0.0,0,Soft Drinks
38.76,3.23,12,Tomato Juice,0.0,0,Juices
38.61,1.43,30,Beck's,0.1,0,Alcoholic Beverages
841.85,10.51,89,Riesling,0.1,2,Alcoholic Beverages
30.66,2.19,14,Club Mate,0.0,0,Soft Drinks
14.51,0.52,31,Selters,0.1,0,Water
4.72,0.59,8,Mezzo Mix,0.0,0,Soft Drinks
152.05,2.91,55,Rauch Multivitamin,0.05,0,Juices
10.71,1.19,9,Fanta,0.0,0,Soft Drinks
5.94,0.99,6,Apollinaris,0.0,0,Water
40.18,0.95,47,Sprite,0.1,0,Soft Drinks
9.69,3.23,3,Tomato Juice,0.0,0,Juices
4.64,1.16,4,Augustiner,0.0,0,Alcoholic Beverages
19.88,1.42,14,Volvic Touch,0.0,0,Water
4.77,1.59,3,Granini Apple,0.0,0,Juices
65.18,1.02,71,Schwip Schwap,0.1,0,Soft Drinks
9.36,3.12,3,Monster,0.0,0,Soft Drinks
22.95,1.53,15,Pepsi,0.0,0,Soft Drinks
82.82,1.16,84,Selters,0.15,0,Water
41.52,3.46,12,Cranberry Juice,0.0,0,Juices
118.8,2.2,60,Club Mate,0.1,0,Soft Drinks
13.24,3.31,4,Mango Juice,0.0,0,Juices
6.9,0.46,15,Selters,0.0,0,Water
99.71,1.64,64,Beck's,0.05,0,Alcoholic Beverages
3.85,0.55,7,Sprite,0.0,0,Soft Drinks
6.54,1.09,6,Augustiner,0.0,0,Alcoholic Beverages
11.35,2.27,5,Rockstar,0.0,0,Soft Drinks
28.75,0.89,34,Schwip Schwap,0.05,0,Soft Drinks
10.4,1.04,10,Coca-Cola,0.0,0,Soft Drinks
110.72,13.84,8,Bacardi,0.0,0,Alcoholic Beverages
26.13,1.31,21,Volvic Touch,0.05,0,Water
9.12,2.28,4,Red Bull,0.0,0,Soft Drinks
9.84,1.64,6,Granini Apple,0.0,0,Juices
